AREA_NAME,tree_density
South Eglinton-Davisville,2008.8762465416294
North Toronto,1251.1479798423304
Dovercourt Village,1558.2146444552427
Junction-Wallace Emerson,1229.9432948437322
Yonge-Bay Corridor,337.8847882992058
Bay-Cloverhill,1130.98469746109
Bendale-Glen Andrew,1853.7721099601995
Downsview,924.6835792720098
Oakdale-Beverley Heights,1480.8961522267932
Avondale,2435.8270494230233
East Willowdale,2550.234683935041
Yonge-Doris,1693.8120446432274
Fenside-Parkwoods,2185.4815554264655
Parkwoods-O'Connor Hills,2483.495942837266
East L'Amoreaux,2103.5014958465154
L'Amoreaux West,2023.816388985674
Malvern East,2048.301290111638
Malvern West,1901.5850783673823
Morningside Heights,2331.633467225681
West Rouge,2754.9962973893644
Woburn North,1654.656214020533
Golfdale-Cedarbrae-Woburn,2312.8410907788666
Guildwood,2967.098085472385
Scarborough Village,2478.4637412344136
Eglinton East,1988.9705075365712
West Hill,2625.0940397922
Morningside,2774.45050793855
Highland Creek,2256.9832222141945
Centennial Scarborough,2491.76232438588
Milliken,1215.6526534035838
Agincourt North,1720.872071213508
Agincourt South-Malvern West,1663.6425546439189
Dorset Park,1184.4352249767644
Ionview,1851.096725062432
Kennedy Park,2062.0840463272643
Cliffcrest,2532.6678357173723
Birchcliffe-Cliffside,2345.9547630353954
Downtown Yonge East,666.6409317980351
Church-Wellesley,1127.3222260519647
St Lawrence-East Bayfront-The Islands,941.9124401289915
Harbourfront-CityPlace,591.2148271817798
Wellington Place,457.31130399707985
Fort York-Liberty Village,1155.7825694935298
West Queen West,1412.8107797282016
Humber Bay Shores,1668.4425051501655
Mimico-Queensway,1341.6384667547957
Etobicoke City Centre,800.8157729996675
Islington,2278.8714125994425
Bendale South,2182.741108791703
Caledonia-Fairbank,1719.5861784454917
Briar Hill-Belgravia,1292.31725870398
Oakwood Village,1616.6731634860873
Humewood-Cedarvale,2517.1415655391143
Lawrence Park North,2516.2441514968145
Lawrence Park South,2887.9876613626643
Forest Hill North,2685.631576494145
Forest Hill South,2871.5115804337715
Yonge-Eglinton,2203.7592033964065
Mount Pleasant East,2819.576756028474
Rosedale-Moore Park,2934.4186333846624
Yonge-St.Clair,2350.6708457627224
Casa Loma,2703.895172257736
Annex,1978.282460368377
Wychwood,2043.3501574497095
Corso Italia-Davenport,1614.8362100230204
Weston-Pelham Park,1177.9744844506238
Junction Area,1283.4689315243515
Oakridge,2000.3140991959153
Clairlea-Birchmount,1444.5929727247064
Wexford/Maryvale,1365.4352625388021
Tam O'Shanter-Sullivan,2046.3279173516223
Steeles,1862.490105002093
Mount Dennis,2147.5920157863275
Lambton Baby Point,2695.043841734074
Weston,1876.7386614351408
Beechborough-Greenbrook,1697.768416752115
Rockcliffe-Smythe,1796.510238510568
Keelesdale-Eglinton West,1350.3691409013916
Palmerston-Little Italy,1817.0979911241736
University,1694.4153253171953
Kensington-Chinatown,1361.2452054612004
North St.James Town,1401.1992229948244
Moss Park,1321.4954145398294
Regent Park,1154.892435566406
Cabbagetown-South St.James Town,2586.8904553608827
South Riverdale,1401.0644044994658
Blake-Jones,1893.3090948477654
North Riverdale,2137.6623524875286
Playter Estates-Danforth,2162.037957677917
Danforth,1804.09435578004
Greenwood-Coxwell,1992.0416074895604
Woodbine Corridor,2320.03686178313
The Beaches,2279.376285803351
East End-Danforth,2070.874764741528
Taylor-Massey,2068.894399386087
Woodbine-Lumsden,1898.3894783305404
Danforth East York,1664.0696733277832
Old East York,2217.144548229303
Runnymede-Bloor West Village,2065.7419157065997
High Park North,2174.5126465259286
High Park-Swansea,2692.989532551969
Roncesvalles,1779.323339581573
South Parkdale,1602.5176507464505
Little Portugal,1204.4395596281017
Dufferin Grove,1520.2504549166233
Trinity-Bellwoods,1644.8747966883586
Don Valley Village,2165.008167923942
Pleasant View,2024.2916767341774
Flemingdon Park,2260.961391158902
Victoria Village,1943.1205954429247
Banbury-Don Mills,2334.634929320136
Bridle Path-Sunnybrook-York Mills,3042.8683729441836
St.Andrew-Windfields,2514.5815426538584
Bedford Park-Nortown,2458.190252749807
Lansing-Westgate,2996.1018613178016
Willowdale West,2461.3078865521416
Newtonbrook West,2201.3947180360115
Westminster-Branson,2482.3947263616506
Bathurst Manor,2485.731439468694
Clanton Park,1750.961272869078
Englemount-Lawrence,2049.09218704081
Yorkdale-Glen Park,1207.125950778452
Brookhaven-Amesbury,1659.1049887683319
Maple Leaf,2131.0153135260166
Rustic,1817.897165438487
York University Heights,1301.402402257426
Glenfield-Jane Heights,1742.2882940745537
Broadview North,2381.4736367930172
Leaside-Bennington,2677.9623535733544
Thorncliffe Park,1605.062911336957
O'Connor-Parkview,2386.8544266539693
Henry Farm,1526.4689914496591
Bayview Village,2709.5740191931945
Newtonbrook East,2466.5403271137216
Bayview Woods-Steeles,2887.7896896345997
Hillcrest Village,1994.7832442300587
Alderwood,1641.8969664448525
Long Branch,2105.7391001208466
New Toronto,1465.11723549099
Stonegate-Queensway,2270.8445539830655
Kingsway South,2731.442156186072
Etobicoke West Mall,1905.471029569744
Markland Wood,2224.155933330224
Eringate-Centennial-West Deane,1956.5873180410395
Princess-Rosethorn,2335.553785874091
Edenbridge-Humber Valley,2607.754222702944
Humber Heights-Westmount,2573.9297111691176
Willowridge-Martingrove-Richview,2062.7257296320604
Kingsview Village-The Westway,1969.4440507192048
Elms-Old Rexdale,2251.3909022553826
Rexdale-Kipling,2295.6086787940085
Thistletown-Beaumond Heights,2774.923269296743
Mount Olive-Silverstone-Jamestown,2046.1006990169221
West Humber-Clairville,946.6803573911482
Black Creek,1687.100392522424
Pelmo Park-Humberlea,1734.9458117388072
Humbermede,1648.0137538554884
Humber Summit,996.2452581041556
